# This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Mon Aug 03 13:54:22 2026
# Search parameters: Dec min = -30; TFOPWG Disposition = CP/KP/PC; Stellar companion separation max = 1.5


TIC ID,TOI,RA,Dec,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,Teff (TOI),Orbital Period (TOI),Orbital Period (TOI) Unc.,J mag,J mag Unc.,H mag,H mag Unc.,K mag,K mag Unc.,Spectroscopy Instrument,Spectroscopy Spectral Resolution,Spectroscopy Wavelength Coverage,Imaging Instrument,Imaging Contrast magnitude,Imaging Contrast separation,Stellar Companion Separation,Stellar Companion Delta mag,Stellar Companion Observation date
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,SpeX,2000,0.7-2.55 microns,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,CORALIE,60000,3870-6890 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,SpeX,2000,0.7-2.55 microns,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,CORALIE,60000,3870-6890 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,SpeX,2000,0.7-2.55 microns,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,CORALIE,60000,3870-6890 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,SpeX,2000,0.7-2.55 microns,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,CORALIE,60000,3870-6890 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,SpeX,2000,0.7-2.55 microns,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,CORALIE,60000,3870-6890 Angstroms,'Alopeke,4.57,0.5,1.3,1.77,2016-01-01
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,TRES,44000,3850-9096 Angstroms,'Alopeke,4.57,0.5,1.3,1.77,2016-01-01
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.3,1.77,2016-01-01
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.3,1.77,2016-01-01
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.3,1.77,2016-01-01
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,3.3088922,0.0000071,7.232,0.026,7.048,0.021,6.959,0.024,NRES,53000,380-860 nm,'Alopeke,4.57,0.5,1.3,1.77,2016-01-01
